Country,Year,Life expectancy
Albania,2015,75.18469281093674
Albania,2014,75.14241807143124
Albania,2013,75.25265261347619
Albania,2012,75.29509161106736
Albania,2011,75.40050475680249
Albania,2010,75.41459120341077
Algeria,2015,73.78949584436906
Algeria,2014,73.81601583698063
Algeria,2013,73.92464748574824
Algeria,2012,73.9678984308273
Algeria,2011,74.03923863321043
Algeria,2010,74.11053732757833
Bahamas,2015,74.2670690823082
Bahamas,2014,73.85612781892414
Bahamas,2013,74.27634559942616
Bahamas,2012,74.27769333562148
Bahamas,2011,74.28547777899115
Bahamas,2010,74.28461601040102
Bolivia (Plurinational State of),2015,66.72777490600967
Bolivia (Plurinational State of),2014,66.72072070434687
Bolivia (Plurinational State of),2013,66.74792076626362
Bolivia (Plurinational State of),2012,66.70792760446645
Bolivia (Plurinational State of),2011,66.78344314227766
Bolivia (Plurinational State of),2010,66.6967911677306
Bosnia and Herzegovina,2015,75.72423231809154
Bosnia and Herzegovina,2014,75.73495164926129
Bosnia and Herzegovina,2013,75.71001991478667
Bosnia and Herzegovina,2012,75.73785593430037
Bosnia and Herzegovina,2011,75.77220350208614
Bosnia and Herzegovina,2010,75.83857412372049
Colombia,2015,73.53397214659115
Colombia,2014,77.84636132770726
Colombia,2013,73.53357630359318
Colombia,2012,73.53424358450839
Colombia,2011,73.5316809251544
Colombia,2010,73.54874664118275
Croatia,2015,75.48482637657011
Croatia,2014,75.52701162569585
Croatia,2013,75.53617757548488
Croatia,2012,75.5154350051376
Croatia,2011,75.53601872731868
Croatia,2010,75.47048116323465
Denmark,2015,77.54509103476876
Denmark,2014,78.52368816717171
Denmark,2013,78.10848927496195
Denmark,2012,78.06255672707387
Denmark,2011,78.5762680510665
Denmark,2010,77.93698159757241
Ethiopia,2015,62.23684983108472
Ethiopia,2014,62.39951643504607
Ethiopia,2013,62.2622410385972
Ethiopia,2012,62.33980397151833
Ethiopia,2011,62.364726106103326
Ethiopia,2010,63.487750179152414
Gambia,2015,58.75414998545936
Gambia,2014,58.75457215004826
Gambia,2013,58.75880702178293
Gambia,2012,58.766520427727514
Gambia,2011,58.773838179002155
Gambia,2010,58.820916023116816
Georgia,2015,74.07012764184998
Georgia,2014,74.06260084159774
Georgia,2013,73.87704985955767
Georgia,2012,74.1266345253865
Georgia,2011,74.09087480133506
Georgia,2010,73.74537506158848
Ghana,2015,63.17286090681744
Ghana,2014,63.42354856207537
Ghana,2013,61.914484338501246
Ghana,2012,63.58109217068304
Ghana,2011,63.61145193023531
Ghana,2010,64.48806556449678
Guinea,2015,56.42787858259159
Guinea,2014,56.435561491900806
Guinea,2013,56.357905431934924
Guinea,2012,56.35383157891528
Guinea,2011,56.3096200373666
Guinea,2010,56.45769888321268
Guinea-Bissau,2015,55.1215326885101
Guinea-Bissau,2014,55.1310709078814
Guinea-Bissau,2013,55.14779636724128
Guinea-Bissau,2012,55.160178011516514
Guinea-Bissau,2011,55.18544632743601
Guinea-Bissau,2010,55.240139582831475
Haiti,2015,62.58442303766161
Haiti,2014,61.178036205306825
Haiti,2013,61.475230289807605
Haiti,2012,61.52261832959895
Haiti,2011,61.528043304956
