;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;sex;taster_credit;title;variety;winery
0;US;This big, bold, full-bodied wine has everything in spades: giant aromas of boysenberry, saturated jammy flavors, thick but fine-textured tannins, plenty of alcohol and an appealing viscosity that carries the flavors through a long finish. Best after 2019.;;92;28.0;California;Clear Lake;;Jim Gordon;@gordone_cellars;male;1;Rosa d'Oro 2012 Aglianico (Clear Lake);Aglianico;Rosa d'Oro
1;US;Merlot and Cabernet Sauvignon are equally represented in this soft, robust blend that also includes smaller amounts of Cabernet Franc and Petit Verdot. Juicy blackberry and plum combine with dusty, integrated tannin, as a length of dark cherry and sage weave in and out.;LDC;91;42.0;California;Napa Valley;Napa;Virginie Boone;@vboone;female;;Luke Donald 2012 LDC Red (Napa Valley);Red Blend;Luke Donald
2;Italy;The region of Lazio is making promising inroads into quality wine production. The Cesanese d'Affile grape is a protagonist of this new promise, offering unique aromas of raspberry, dried herb, oregano and Christmas spice.;Tenuta della Ioria Superiore;89;21.0;Central Italy;Cesanese del Piglio;;;;;;Casale della Ioria 2009 Tenuta della Ioria Superiore  (Cesanese del Piglio);Cesanese d'Affile;Casale della Ioria
3;US;A spectacular Pinot, continuing a string of great vintages from this little vineyard. The year 2007 gave California supernaturally rich but balanced Pinot Noirs, and this is one of them. It's sensational, offering broad, exotic fruit flavors, pinpointed with exotic spices, and exquisitely highlighted with French oak. Truly fine, this small-production wine should age over the next 6–8 years.;Confluence Vineyard;97;75.0;California;Anderson Valley;;;;;;Goldeneye 2007 Confluence Vineyard Pinot Noir (Anderson Valley);Pinot Noir;Goldeneye
4;France;With lees aging to give extra richness, the wine is fruity with a fine mineral texture. Apricot and raspberry fruits are right up front along with the intense acidity. Drink this attractive ripe wine now.;La Bravade;87;20.0;Provence;Côtes de Provence;;Roger Voss;@vossroger;male;;Vignobles de Saint-Tropez 2016 La Bravade Rosé (Côtes de Provence);Rosé;Vignobles de Saint-Tropez
5;US;Very tasty and large in scale, it sports a huge nose of dark plum and heavy cedar, along with cinnamon and vanilla accents wrapped in very toasty oak. Very dark fruit with licorice shadings and an elegant, supple mouthfeel add to the appeal. The dark flavors and heavy toast continue on the long finish, which doesn't want to quit.;Clone 6;92;130.0;California;Napa Valley;Napa;;;;;Beaulieu Vineyard 1997 Clone 6 Cabernet Sauvignon (Napa Valley);Cabernet Sauvignon;Beaulieu Vineyard
6;US;This bottling screams white earth, with a chalk- and riverstone-like minerality and clotted cream and lemon scents. That minerality carries through to the palate, where a chalky note blends with Asian pear and marshmallow. It's a study in how to present delicate flavors with pizzazz, which the Talley family has been known to do.;Oliver's Vineyard;94;38.0;California;Edna Valley;Central Coast;Matt Kettmann;@mattkettmann;male;;Talley 2014 Oliver's Vineyard Chardonnay (Edna Valley);Chardonnay;Talley
7;US;Produced from a mix of clones and vineyard sources, this is a chewy, substantial wine, with dark fruit flavors of plum and black cherry. Light suggestions of coffee, gravel and iron also factor in. It's a rugged, earthy, tannic wine that will be best decanted.;Gravel Road;89;30.0;Oregon;Willamette Valley;Willamette Valley;Paul Gregutt;@paulgwine ;male;;Roco 2015 Gravel Road Pinot Noir (Willamette Valley);Pinot Noir;Roco
8;US;This shows the finesse of the vineyard, not to mention the winemaker's talent. Made from 100% Cabernet Sauvignon, it's bone dry and brisk in acidity, with firm tannins that make it one for the cellar. It has a huge core of blackberry and black currant fruit that's waiting to emerge. Try after 2018.;Maxine's Vineyard;93;45.0;California;Yountville;Napa;??;;;;Bardessono 2010 Maxine's Vineyard Cabernet Sauvignon (Yountville);Cabernet Sauvignon;Bardessono
9;Chile;Quite the floral wine, with blueberry and violet aromas that distinguish it from others. But the palate is sharp and choppy, with high acidity that lends sharpness to the black cherry and raspberry flavors. Stirs interest because it breaks the mold of heavy, black fruit-dominated Syrahs. But it's also strange and not fully in gear. Imported by Ecovalley Quality Wine Group and National Refrescos Import Company, LLC.;Reserva;85;14.0;Limarí Valley;;;Michael Schachner;@wineschach;male;;Tamaya 2008 Reserva Syrah (Limarí Valley);Syrah;Tamaya
10;US;Bright lemon, lime and sweet grass aromas trend toward passionfruit on this fresh, fruity wine from Southern California. The palate is also quite ripe, with green bell pepper, ripe green apples and herbal punch, laid across tongue-tingling acidity.;Estate;88;;California;Temecula;South Coast;Matt Kettmann;@mattkettmann;male;;Falkner 2014 Estate Sauvignon Blanc (Temecula);Sauvignon Blanc;Falkner
11;US;I like this wine a lot, even though it doesn't have Viognier's typical exotic richness. Bone dry, with mouth-tingling acidity and low alcohol, it shows citrus, coconut macaroon, apricot and spice flavors that finish with real complexity. The cool vintage definitely was kind to this inland, Delta appellation.;;88;14.0;California;Clarksburg;Central Valley;;;;;The White Knight 2006 Viognier (Clarksburg);Viognier;The White Knight
